Ammattioikeus_koodi;Ammattioikeus;Ammattioikeus SV;Ammattioikeus EN;Vuosi;Ikä;Ammattioikeuksien lkm;Ammattihenkilöiden lkm
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2017;<65;414;414
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2017;>=65;76;76
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2017;<65;5663;5663
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2017;>=65;18;18
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2017;<65;18307;18307
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2017;>=65;Alle 5;Alle 5
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2017;<65;557;557
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2017;>=65;7;7
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2017;<65;14510;14510
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2017;>=65;6;6
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2017;<65;1011;1011
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2017;<65;416;416
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2017;>=65;2912;2912
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2017;<65;6637;6637
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2017;>=65;3255;3255
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2017;<65;22376;22376
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2017;<65;3585;3585
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2017;>=65;3901;3901
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2017;>=65;1796;1796
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2017;<65;18678;18678
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2017;>=65;15722;15722
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2017;<65;17862;17862
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2017;>=65;2532;2532
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2017;<65;7545;7545
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2017;>=65;1416;1416
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2017;<65;4351;4351
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2017;>=65;1992;1992
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2017;<65;16385;16385
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2017;>=65;693;693
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2017;<65;4879;4879
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2017;>=65;294;294
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2017;<65;2474;2474
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2017;>=65;7239;7239
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2017;<65;9980;9980
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2017;>=65;5438;5438
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2017;<65;159798;159798
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2017;>=65;2188;2188
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2017;<65;9453;9453
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2017;>=65;1815;1815
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2017;<65;6151;6151
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2017;>=65;171;171
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2017;<65;2848;2848
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2017;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2017;<65;378;378
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2017;>=65;295;295
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2017;<65;595;595
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2017;>=65;341;341
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2017;<65;2461;2461
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2018;>=65;6778;6778
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2018;<65;23442;23442
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2018;>=65;2353;2353
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2018;<65;5367;5367
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2018;>=65;4067;4067
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2018;<65;10099;10099
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2018;>=65;697;697
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2018;<65;3010;3010
007;laillistettu optikko;legitimerad optiker;registered optician;2018;>=65;397;397
007;laillistettu optikko;legitimerad optiker;registered optician;2018;<65;2029;2029
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2018;>=65;311;311
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2018;<65;834;834
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2018;>=65;1795;1795
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2018;<65;6286;6286
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2018;>=65;2091;2091
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2018;<65;5950;5950
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2018;>=65;281;281
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2018;<65;1718;1718
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2018;>=65;109;109
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2018;<65;3665;3665
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2018;>=65;59;59
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2018;<65;604;604
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2018;>=65;39;39
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2018;<65;168;168
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2018;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2018;<65;35;35
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2018;<65;112;112
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2018;>=65;122;122
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2018;>=65;13;13
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2018;<65;45;45
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2018;>=65;10;10
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2018;<65;12;12
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2018;>=65;7617;5590
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2018;<65;16398;13502
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2018;>=65;451;440
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2018;<65;727;723
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2018;>=65;30714;30714
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2018;<65;108202;108202
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2018;>=65;12;12
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2018;<65;307;307
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2018;>=65;9;9
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2018;<65;103;103
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2018;>=65;21;21
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2018;<65;190;190
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2018;>=65;31;31
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2018;<65;448;448
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2018;>=65;176;176
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2018;<65;6685;6685
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2018;>=65;64;64
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2018;<65;27989;27989
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2018;>=65;Alle 5;Alle 5
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2018;<65;818;818
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2018;>=65;6624;6624
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2018;<65;161797;161797
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2018;>=65;21;21
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2018;<65;1335;1335
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2018;>=65;7;7
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2018;<65;562;562
266;laillistettu kuntoutuksen ohjaaja;legitimerad rehabiliteringsledare;rehabilitation councellor;2018;>=65;Alle 5;Alle 5
266;laillistettu kuntoutuksen ohjaaja;legitimerad rehabiliteringsledare;rehabilitation councellor;2018;<65;516;516
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2018;>=65;2952;2952
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2018;<65;6702;6702
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2018;>=65;3709;3709
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2018;<65;22521;22521
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2018;<65;3276;3276
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2018;>=65;4059;4059
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2018;>=65;1982;1982
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2018;<65;19466;19466
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2018;<65;16497;16497
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2018;>=65;16751;16751
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2018;>=65;2824;2824
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2018;<65;7406;7406
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2018;>=65;1499;1499
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2018;<65;4441;4441
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2018;>=65;2267;2267
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2018;<65;16663;16663
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2018;>=65;850;850
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2018;<65;4693;4693
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2018;>=65;329;329
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2018;<65;2429;2429
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2018;>=65;7539;7539
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2018;<65;9532;9532
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2018;>=65;6627;6627
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2018;<65;168011;168011
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2018;>=65;2476;2476
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2018;<65;9133;9133
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2018;>=65;2114;2114
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2018;<65;5822;5822
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2018;>=65;209;209
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2018;<65;2956;2956
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2018;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2018;<65;423;423
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2018;>=65;319;319
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2018;<65;567;567
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2018;>=65;421;421
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2018;<65;2368;2368
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2019;>=65;7292;7292
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2019;<65;23690;23690
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2019;>=65;2481;2481
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2019;<65;5366;5366
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2019;>=65;4054;4054
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2019;<65;10245;10245
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2019;>=65;732;732
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2019;<65;3039;3039
007;laillistettu optikko;legitimerad optiker;registered optician;2019;>=65;450;450
007;laillistettu optikko;legitimerad optiker;registered optician;2019;<65;2053;2053
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2019;>=65;324;324
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2019;<65;835;835
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2019;>=65;1886;1886
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2019;<65;6412;6412
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2019;>=65;2326;2326
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2019;<65;5914;5914
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2019;>=65;307;307
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2019;<65;1787;1787
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2019;>=65;143;143
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2019;<65;3855;3855
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2019;>=65;70;70
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2019;<65;614;614
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2019;>=65;44;44
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2019;<65;171;171
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2019;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2019;<65;40;40
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2019;<65;110;110
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2019;>=65;127;127
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2019;>=65;15;15
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2019;<65;44;44
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2019;>=65;10;10
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2019;<65;12;12
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2019;>=65;8138;5976
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2019;<65;16454;13651
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2019;>=65;476;464
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2019;<65;722;719
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2019;>=65;32300;32300
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2019;<65;110776;110776
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2019;>=65;16;16
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2019;<65;331;331
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2019;>=65;11;11
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2019;<65;106;106
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2019;>=65;21;21
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2019;<65;188;188
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2019;>=65;35;35
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2019;<65;488;488
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2019;>=65;332;332
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2019;<65;6965;6965
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2019;>=65;132;132
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2019;<65;30425;30425
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2019;>=65;Alle 5;Alle 5
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2019;<65;972;972
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2019;>=65;8088;8088
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2019;<65;169174;169174
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2019;>=65;41;41
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2019;<65;1356;1356
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2019;>=65;18;18
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2019;<65;605;605
266;laillistettu kuntoutuksen ohjaaja;legitimerad rehabiliteringsledare;rehabilitation councellor;2019;>=65;Alle 5;Alle 5
266;laillistettu kuntoutuksen ohjaaja;legitimerad rehabiliteringsledare;rehabilitation councellor;2019;<65;581;581
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2019;>=65;3015;3015
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2019;<65;6794;6794
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2019;>=65;4214;4214
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2019;<65;22751;22751
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2019;<65;2976;2976
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2019;>=65;4210;4210
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2019;>=65;2193;2193
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2019;<65;20364;20364
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2019;<65;15116;15116
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2019;>=65;17770;17770
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2019;>=65;3083;3083
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2019;<65;7342;7342
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2019;>=65;1586;1586
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2019;<65;4501;4501
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2019;>=65;2556;2556
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2019;<65;17075;17075
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2019;>=65;1051;1051
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2019;<65;4476;4476
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2019;>=65;375;375
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2019;<65;2371;2371
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2019;>=65;7810;7810
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2019;<65;9086;9086
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2019;>=65;8091;8091
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2019;<65;175413;175413
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2019;>=65;2754;2754
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2019;<65;8829;8829
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2019;>=65;2482;2482
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2019;<65;5430;5430
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2019;>=65;257;257
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2019;<65;3069;3069
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2019;>=65;5;5
